date,best_bid,best_ask,total_bid_depth,total_ask_depth,volume_by_product
2020-03-23T11:42:00.247, 648896.0, 649033.0, 7102.89570915, 6377.6404914, 197163.56981252
2020-03-23T11:43:00.527, 650077.0, 650145.0, 7105.36587125, 6399.83770034, 197114.10936272
2020-03-23T11:44:00.723, 649523.0, 649765.0, 7061.04229514, 6395.40590439, 197034.10285017
2020-03-23T11:45:00.147, 650371.0, 650389.0, 7093.56386864, 6400.73854933, 196988.61779787
2020-03-23T11:46:00.41, 649975.0, 650047.0, 7107.67471056, 6393.2837061, 196880.22011513
2020-03-23T11:47:00.43, 649656.0, 649740.0, 7067.57927138, 6406.70605745, 196584.57993886
2020-03-23T11:48:00.02, 649899.0, 650053.0, 7077.72340242, 6412.77762187, 196473.97337184
2020-03-23T11:48:59.607, 648707.0, 648793.0, 7014.52036089, 6399.20577481, 196360.67477443
2020-03-23T11:50:00.147, 648446.0, 648597.0, 7055.93872599, 6396.7704957, 196277.25496017
2020-03-23T11:51:00.373, 649208.0, 649400.0, 7060.15669751, 6314.90136614, 196261.2653654
2020-03-23T11:52:00.577, 648579.0, 648742.0, 7069.93491792, 6469.27828485, 196135.42701639
2020-03-23T11:53:00.757, 648372.0, 648408.0, 7046.03552351, 6431.2613161, 196111.45055647
2020-03-23T11:54:00.127, 648726.0, 648856.0, 7075.01309338, 6462.86744607, 196045.15551425
